instances,Frac_Neg_Body,Frac_Pos_Body,Frac_Unary_Rules,Frac_Binary_Rules,Frac_Ternary_Rules,Frac_Integrity_Rules,Tight,Problem_Variables,Free_Problem_Variables,Assigned_Problem_Variables,Constraints,Constraints/Vars,Created_Bodies,Program_Atoms,SCCS,Nodes_in_Positive_BADG,Rules,Normal_Rules,Cardinality_Rules,Choice_Rules,Weight_Rules,Frac_Normal_Rules,Frac_Cardinality_Rules,Frac_Choice_Rules,Frac_Weight_Rules,Equivalences,Atom-Atom_Equivalences,Body-Body_Equivalences,Other_Equivalences,Frac_Atom-Atom_Equivalences,Frac_Body-Body_Equivalences,Frac_Other_Equivalences,Binary_Constraints,Ternary_Constraints,Other_Constraints,Frac_Binary_Constraints,Frac_Ternary_Constraints,Frac_Other_Constraints
instances/asp/data/riposte/sparkskein/dsc/procedure_copy_msg_to_b_17_dsc.asp.ground,0.3474,0.6092,0.0439,0.2868,0.6185,0.0363,1.0,0.0,0.0,0.0,0.0,0.0,38245.0,40969.0,0.0,0.0,74588.0,68750.0,4518.0,1320.0,0.0,0.9217,0.0606,0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_copy_msg_to_b_18_dsc.asp.ground,0.3138,0.6437,0.0353,0.2943,0.6288,0.0305,1.0,0.0,0.0,0.0,0.0,0.0,70924.0,71388.0,0.0,0.0,141846.0,131678.0,8056.0,2112.0,0.0,0.9283,0.0568,0.0149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_copy_msg_to_b_1_dsc.asp.ground,0.3474,0.6092,0.0439,0.2868,0.6186,0.0363,1.0,0.0,0.0,0.0,0.0,0.0,38241.0,40959.0,0.0,0.0,74574.0,68736.0,4518.0,1320.0,0.0,0.9217,0.0606,0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_copy_msg_to_b_2_dsc.asp.ground,0.3474,0.6092,0.0439,0.2868,0.6186,0.0363,1.0,0.0,0.0,0.0,0.0,0.0,38241.0,40959.0,0.0,0.0,74574.0,68736.0,4518.0,1320.0,0.0,0.9217,0.0606,0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_copy_msg_to_b_3_dsc.asp.ground,0.3475,0.6091,0.043,0.2884,0.6194,0.0351,1.0,0.0,0.0,0.0,0.0,0.0,39483.0,42296.0,0.0,0.0,76986.0,71028.0,4638.0,1320.0,0.0,0.9226,0.0602,0.0171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_copy_msg_to_b_4_dsc.asp.ground,0.3484,0.61,0.0437,0.2892,0.6194,0.034,1.0,0.0,0.0,0.0,0.0,0.0,40740.0,43848.0,0.0,0.0,79536.0,73448.0,4768.0,1320.0,0.0,0.9235,0.0599,0.0166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_copy_msg_to_b_5_dsc.asp.ground,0.2704,0.6972,0.0326,0.3049,0.6218,0.0241,1.0,0.0,0.0,0.0,0.0,0.0,53203.0,48510.0,0.0,0.0,112534.0,105796.0,5418.0,1320.0,0.0,0.9401,0.0481,0.0117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_copy_msg_to_b_6_dsc.asp.ground,0.2719,0.6955,0.0322,0.3055,0.6225,0.0236,1.0,0.0,0.0,0.0,0.0,0.0,54460.0,49867.0,0.0,0.0,114954.0,108086.0,5548.0,1320.0,0.0,0.9403,0.0483,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_copy_msg_to_b_7_dsc.asp.ground,0.2515,0.7176,0.0283,0.3113,0.6207,0.0202,1.0,0.0,0.0,0.0,0.0,0.0,62321.0,53813.0,0.0,0.0,134678.0,127278.0,6080.0,1320.0,0.0,0.9451,0.0451,0.0098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_copy_msg_to_b_8_dsc.asp.ground,0.2924,0.6676,0.0312,0.3007,0.627,0.0261,1.0,0.0,0.0,0.0,0.0,0.0,81153.0,78207.0,0.0,0.0,165995.0,154657.0,9226.0,2112.0,0.0,0.9317,0.0556,0.0127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_copy_msg_to_b_9_dsc.asp.ground,0.2622,0.7029,0.0294,0.3041,0.6284,0.0239,1.0,0.0,0.0,0.0,0.0,0.0,75089.0,67473.0,0.0,0.0,159007.0,149529.0,7630.0,1848.0,0.0,0.9404,0.048,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_do_first_key_injection_1_dsc.asp.ground,0.9917,0.9917,0.9835,0.0138,0.0,0.0055,1.0,0.0,0.0,0.0,0.0,0.0,8.0,717.0,0.0,0.0,727.0,725.0,2.0,0.0,0.0,0.9972,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_do_first_key_injection_2_dsc.asp.ground,0.2888,0.6623,0.0333,0.2797,0.6628,0.0101,1.0,0.0,0.0,0.0,0.0,0.0,217979.0,216145.0,0.0,0.0,458867.0,423637.0,33084.0,2146.0,0.0,0.9232,0.0721,0.0047,0.0,249040.0,61972.0,34611.0,152457.0,0.2488,0.139,0.6122,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_do_first_key_injection_3_dsc.asp.ground,0.2915,0.6598,0.0359,0.2741,0.6669,0.01,1.0,0.0,0.0,0.0,0.0,0.0,252849.0,253553.0,0.0,0.0,529780.0,487536.0,39820.0,2424.0,0.0,0.9203,0.0752,0.0046,0.0,296617.0,74406.0,40231.0,181980.0,0.2508,0.1356,0.6135,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_10_dsc.asp.ground,0.2487,0.7233,0.0163,0.3092,0.6073,0.0058,1.0,0.0,0.0,0.0,0.0,0.0,228779.0,185561.0,0.0,0.0,486274.0,454092.0,30862.0,1320.0,0.0,0.9338,0.0635,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_11_dsc.asp.ground,0.2535,0.7154,0.0193,0.3091,0.612,0.0079,1.0,0.0,0.0,0.0,0.0,0.0,172527.0,144833.0,0.0,0.0,366803.0,342365.0,23058.0,1380.0,0.0,0.9334,0.0629,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_12_dsc.asp.ground,0.2537,0.7165,0.0174,0.3065,0.6108,0.0066,1.0,0.0,0.0,0.0,0.0,0.0,240886.0,199173.0,0.0,0.0,509255.0,474845.0,32826.0,1584.0,0.0,0.9324,0.0645,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_13_dsc.asp.ground,0.2609,0.705,0.0209,0.3041,0.6181,0.0088,1.0,0.0,0.0,0.0,0.0,0.0,187174.0,161472.0,0.0,0.0,394381.0,367055.0,25670.0,1656.0,0.0,0.9307,0.0651,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_14_dsc.asp.ground,0.259,0.7091,0.0187,0.3031,0.615,0.0073,1.0,0.0,0.0,0.0,0.0,0.0,254894.0,215110.0,0.0,0.0,535678.0,498518.0,35312.0,1848.0,0.0,0.9306,0.0659,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_15_dsc.asp.ground,0.2682,0.6945,0.0225,0.2987,0.6248,0.0095,1.0,0.0,0.0,0.0,0.0,0.0,203792.0,180525.0,0.0,0.0,425525.0,394765.0,28828.0,1932.0,0.0,0.9277,0.0677,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_16_dsc.asp.ground,0.2644,0.7013,0.02,0.2993,0.6199,0.0079,1.0,0.0,0.0,0.0,0.0,0.0,270789.0,233365.0,0.0,0.0,565523.0,525091.0,38320.0,2112.0,0.0,0.9285,0.0678,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_17_dsc.asp.ground,0.2752,0.6841,0.024,0.293,0.6317,0.0101,1.0,0.0,0.0,0.0,0.0,0.0,222387.0,201995.0,0.0,0.0,460243.0,425503.0,32532.0,2208.0,0.0,0.9245,0.0707,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_18_dsc.asp.ground,0.2698,0.6933,0.0213,0.2951,0.6252,0.0084,1.0,0.0,0.0,0.0,0.0,0.0,288577.0,253941.0,0.0,0.0,598798.0,554572.0,41850.0,2376.0,0.0,0.9261,0.0699,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_19_dsc.asp.ground,0.2818,0.6741,0.0254,0.2873,0.6387,0.0105,1.0,0.0,0.0,0.0,0.0,0.0,242946.0,225869.0,0.0,0.0,498511.0,459249.0,36778.0,2484.0,0.0,0.9212,0.0738,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_1_dsc.asp.ground,0.32,0.6559,0.02,0.3034,0.5776,0.0055,1.0,0.0,0.0,0.0,0.0,0.0,79785.0,74335.0,0.0,0.0,156858.0,142748.0,13696.0,414.0,0.0,0.91,0.0873,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_20_dsc.asp.ground,0.2752,0.6853,0.0227,0.2907,0.6307,0.0088,1.0,0.0,0.0,0.0,0.0,0.0,308245.0,276825.0,0.0,0.0,635479.0,586941.0,45898.0,2640.0,0.0,0.9236,0.0722,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_21_dsc.asp.ground,0.2427,0.72,0.0218,0.2983,0.6337,0.0089,1.0,0.0,0.0,0.0,0.0,0.0,276523.0,232501.0,0.0,0.0,594889.0,554015.0,38366.0,2508.0,0.0,0.9313,0.0645,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_22_dsc.asp.ground,0.2461,0.7182,0.02,0.2976,0.6296,0.0081,1.0,0.0,0.0,0.0,0.0,0.0,355038.0,296419.0,0.0,0.0,756817.0,704315.0,49598.0,2904.0,0.0,0.9306,0.0655,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_23_dsc.asp.ground,0.3115,0.6627,0.018,0.294,0.5871,0.0054,1.0,0.0,0.0,0.0,0.0,0.0,131158.0,119467.0,0.0,0.0,257258.0,233876.0,22722.0,660.0,0.0,0.9091,0.0883,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_24_dsc.asp.ground,0.3121,0.6625,0.0184,0.2942,0.5874,0.0054,1.0,0.0,0.0,0.0,0.0,0.0,132415.0,121019.0,0.0,0.0,259808.0,236296.0,22852.0,660.0,0.0,0.9095,0.088,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_25_dsc.asp.ground,0.2991,0.6763,0.0178,0.2979,0.5895,0.005,1.0,0.0,0.0,0.0,0.0,0.0,139361.0,123981.0,0.0,0.0,277816.0,254160.0,22996.0,660.0,0.0,0.9149,0.0828,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_26_dsc.asp.ground,0.2995,0.6757,0.0178,0.2982,0.59,0.005,1.0,0.0,0.0,0.0,0.0,0.0,140618.0,125338.0,0.0,0.0,280236.0,256450.0,23126.0,660.0,0.0,0.9151,0.0825,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_27_dsc.asp.ground,0.3282,0.6434,0.0218,0.3092,0.5726,0.0081,1.0,0.0,0.0,0.0,0.0,0.0,87231.0,83474.0,0.0,0.0,171297.0,155971.0,14666.0,660.0,0.0,0.9105,0.0856,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_2_dsc.asp.ground,0.32,0.6559,0.02,0.3034,0.5776,0.0055,1.0,0.0,0.0,0.0,0.0,0.0,79785.0,74335.0,0.0,0.0,156858.0,142748.0,13696.0,414.0,0.0,0.91,0.0873,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_3_dsc.asp.ground,0.3203,0.656,0.0204,0.3033,0.5774,0.0055,1.0,0.0,0.0,0.0,0.0,0.0,79785.0,74398.0,0.0,0.0,156921.0,142811.0,13696.0,414.0,0.0,0.9101,0.0873,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_4_dsc.asp.ground,0.2883,0.6874,0.017,0.3012,0.5925,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,147360.0,128071.0,0.0,0.0,297829.0,273907.0,23262.0,660.0,0.0,0.9197,0.0781,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_5_dsc.asp.ground,0.2295,0.7464,0.0147,0.3188,0.5994,0.0031,1.0,0.0,0.0,0.0,0.0,0.0,135968.0,104694.0,0.0,0.0,296821.0,278311.0,18096.0,414.0,0.0,0.9376,0.061,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_6_dsc.asp.ground,0.2375,0.7375,0.014,0.3122,0.6027,0.0033,1.0,0.0,0.0,0.0,0.0,0.0,204617.0,159479.0,0.0,0.0,439700.0,411050.0,27990.0,660.0,0.0,0.9348,0.0637,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_7_dsc.asp.ground,0.2392,0.7345,0.0164,0.3166,0.6027,0.0054,1.0,0.0,0.0,0.0,0.0,0.0,149181.0,118748.0,0.0,0.0,322393.0,302091.0,19474.0,828.0,0.0,0.937,0.0604,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_8_dsc.asp.ground,0.2441,0.7292,0.0152,0.3111,0.6047,0.0048,1.0,0.0,0.0,0.0,0.0,0.0,218566.0,174272.0,0.0,0.0,466723.0,436245.0,29422.0,1056.0,0.0,0.9347,0.063,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_get_64_lsb_first_9_dsc.asp.ground,0.2462,0.7254,0.0178,0.3133,0.6067,0.0068,1.0,0.0,0.0,0.0,0.0,0.0,159865.0,130615.0,0.0,0.0,342811.0,320715.0,20992.0,1104.0,0.0,0.9355,0.0612,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_initialize_key_schedule_1_dsc.asp.ground,0.3502,0.6183,0.0558,0.2736,0.6376,0.044,1.0,0.0,0.0,0.0,0.0,0.0,21751.0,23904.0,0.0,0.0,42682.0,39484.0,2274.0,924.0,0.0,0.9251,0.0533,0.0216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_initialize_key_schedule_2_dsc.asp.ground,0.3502,0.6183,0.0558,0.2736,0.6376,0.044,1.0,0.0,0.0,0.0,0.0,0.0,21751.0,23904.0,0.0,0.0,42682.0,39484.0,2274.0,924.0,0.0,0.9251,0.0533,0.0216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_initialize_key_schedule_3_dsc.asp.ground,0.3474,0.616,0.0501,0.2782,0.6393,0.0405,1.0,0.0,0.0,0.0,0.0,0.0,30583.0,33411.0,0.0,0.0,59780.0,55400.0,3192.0,1188.0,0.0,0.9267,0.0534,0.0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_initialize_key_schedule_4_dsc.asp.ground,0.3573,0.6106,0.0516,0.2888,0.6277,0.041,1.0,0.0,0.0,0.0,0.0,0.0,26743.0,29284.0,0.0,0.0,52467.0,48743.0,2668.0,1056.0,0.0,0.929,0.0509,0.0201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_initialize_key_schedule_5_dsc.asp.ground,0.3477,0.6114,0.0456,0.2824,0.6366,0.0351,1.0,0.0,0.0,0.0,0.0,0.0,39410.0,43213.0,0.0,0.0,77024.0,71190.0,4512.0,1322.0,0.0,0.9243,0.0586,0.0172,0.0,63443.0,16705.0,10635.0,36103.0,0.2633,0.1676,0.5691,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_initialize_key_schedule_6_dsc.asp.ground,0.3564,0.5994,0.0631,0.2405,0.6668,0.0414,1.0,0.0,0.0,0.0,0.0,0.0,54051.0,63376.0,0.0,0.0,106382.0,95812.0,8446.0,2124.0,0.0,0.9006,0.0794,0.02,0.0,91191.0,24856.0,14057.0,52278.0,0.2726,0.1541,0.5733,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_initialize_key_schedule_7_dsc.asp.ground,0.3458,0.6048,0.0463,0.2716,0.6459,0.0357,1.0,0.0,0.0,0.0,0.0,0.0,62574.0,69345.0,0.0,0.0,122006.0,111938.0,7950.0,2118.0,0.0,0.9175,0.0652,0.0174,0.0,102261.0,27004.0,16715.0,58542.0,0.2641,0.1635,0.5725,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/dsc/procedure_initialize_ts_1_dsc.asp.ground,0.3502,0.6183,0.0558,0.2736,0.6376,0.044,1.0,0.0,0.0,0.0,0.0,0.0,21751.0,23904.0,0.0,0.0,42682.0,39484.0,2274.0,924.0,0.0,0.9251,0.0533,0.0216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
