instance,Frac_Neg_Body,Frac_Pos_Body,Frac_Unary_Rules,Frac_Binary_Rules,Frac_Ternary_Rules,Frac_Integrity_Rules,Tight,Problem_Variables,Free_Problem_Variables,Assigned_Problem_Variables,Constraints,Constraints/Vars,Created_Bodies,Program_Atoms,SCCS,Nodes_in_Positive_BADG,Rules,Normal_Rules,Cardinality_Rules,Choice_Rules,Weight_Rules,Frac_Normal_Rules,Frac_Cardinality_Rules,Frac_Choice_Rules,Frac_Weight_Rules,Equivalences,Atom-Atom_Equivalences,Body-Body_Equivalences,Other_Equivalences,Frac_Atom-Atom_Equivalences,Frac_Body-Body_Equivalences,Frac_Other_Equivalences,Binary_Constraints,Ternary_Constraints,Other_Constraints,Frac_Binary_Constraints,Frac_Ternary_Constraints,Frac_Other_Constraints,Choices-1,Conflicts/Choices-1,Avg_Conflict_Levels-1,Avg_LBD_Levels-1,Learnt_from_Conflict-1,Learnt_from_Loop-1,Frac_Learnt_from_Conflict-1,Frac_Learnt_from_Loop-1,Literals_in_Conflict_Nogoods-1,Literals_in_Loop_Nogoods-1,Frac_Literals_in_Conflict_Nogoods-1,Frac_Literals_in_Loop_Nogoods-1,Removed_Nogoods-1,Learnt_Binary-1,Learnt_Ternary-1,Learnt_Others-1,Frac_Removed_Nogood-1,Frac_Learnt_Binary-1,Frac_Learnt_Ternary-1,Frac_Learnt_Others-1,Skipped_Levels_while_Backjumping-1,Avg_Skipped_Levels_while_Backjumping-1,Longest_Backjumping-1,Running_Avg_Conflictlevel-1,Running_Avg_LBD-1
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700165461_0.gph,1,0.01,0.9923,0.0017,0.0011,0.016,0.9749,1,161848,1545,160303,160622,0.9924,161738,2007,0,0,164438,161856,1287,1295,0,0.9843,0.0078,0.0079,0.0,3436,285,70,3081,0.0829,0.0204,0.8967,2880,157500,242,0.0179,0.9806,0.0015,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700139777_0.gph,1,0.01,0.9923,0.0017,0.0011,0.016,0.9749,1,161850,1545,160305,160624,0.9924,161740,2007,0,0,164440,161852,1293,1295,0,0.9843,0.0079,0.0079,0.0,3440,285,70,3085,0.0828,0.0203,0.8968,2880,157501,243,0.0179,0.9806,0.0015,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700137086_0.gph,1,0.01,0.9923,0.0017,0.0011,0.016,0.9748,1,161851,1545,160306,160625,0.9924,161741,2007,0,0,164441,161851,1295,1295,0,0.9842,0.0079,0.0079,0.0,3442,285,70,3087,0.0828,0.0203,0.8969,2880,157500,245,0.0179,0.9805,0.0015,1242,0.4122,76.2227,23.2246,512,0,1.0,0.0,18466,0,1.0,0.0,0,1,1,510,0.0,0.002,0.002,0.9961,1163,2.2715,36,76.08,24.57
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/104_rand_45_250_1727042043_0.gph,1,0.0093,0.9925,0.0013,0.0008,0.0161,0.9759,1,265457,2319,263138,263433,0.9924,265431,2887,0,0,269689,265597,2021,2071,0,0.9848,0.0075,0.0077,0.0,5172,296,90,4786,0.0572,0.0174,0.9254,4374,258754,305,0.0166,0.9822,0.0012,2744,0.187,127.768,14.4776,513,0,1.0,0.0,13915,0,1.0,0.0,0,1,11,501,0.0,0.0019,0.0214,0.9766,2626,5.1189,74,100.08,17.67
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/104_rand_45_250_1727044175_0.gph,1,0.0093,0.9923,0.0011,0.0008,0.0171,0.9756,1,265546,2365,263181,263526,0.9924,265476,2887,0,0,269776,265686,1975,2115,0,0.9848,0.0073,0.0078,0.0,5172,295,90,4787,0.057,0.0174,0.9256,4466,258759,301,0.0169,0.9819,0.0011,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/CarSequencing/001.benchmark1_18classes.dlv.dat.lp,1,0.2691,0.9353,0.1397,0.3978,0.0,0.3978,1,2237,1584,653,652,0.2915,1305,2466,0,0,1639,971,562,106,0,0.5924,0.3429,0.0647,0.0,1762,228,106,1428,0.1294,0.0602,0.8104,0,0,652,0.0,0.0,1.0,949,0.5416,296.0389,16.4163,514,0,1.0,0.0,22700,0,1.0,0.0,326,0,0,514,0.6342,0.0,0.0,1.0,655,1.2743,10,294.05,17.54
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/CarSequencing/benchmark1_15classes.dlv.dat.lp,1,0.2661,0.9356,0.1372,0.3992,0.0,0.3992,1,1747,1170,577,576,0.3297,1153,1945,0,0,1443,854,496,93,0,0.5918,0.3437,0.0644,0.0,1548,197,93,1258,0.1273,0.0601,0.8127,0,0,576,0.0,0.0,1.0,1184,0.4333,328.5965,12.4737,513,0,1.0,0.0,15447,0,1.0,0.0,434,0,0,513,0.846,0.0,0.0,1.0,860,1.6764,9,327.99,13.01
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/CarSequencing/001.benchmark1_17classes.dlv.dat.lp,1,0.2671,0.9354,0.1379,0.3987,0.0,0.3987,1,2099,1462,637,636,0.303,1273,2319,0,0,1595,944,548,103,0,0.5918,0.3436,0.0646,0.0,1712,219,103,1390,0.1279,0.0602,0.8119,0,0,636,0.0,0.0,1.0,952,0.5378,273.6719,15.3301,512,0,1.0,0.0,18654,0,1.0,0.0,320,0,0,512,0.625,0.0,0.0,1.0,679,1.3262,7,272.71,15.76
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/Factoring/fact.grnd.sat.30,1,0.0486,0.584,0.0,0.2536,0.7386,0.0513,1,4596,4323,273,13078,2.8455,9125,6681,0,0,9391,9391,0,0,0,1.0,0.0,0.0,0.0,11393,508,238,10647,0.0446,0.0209,0.9345,8795,4250,33,0.6725,0.325,0.0025,732,0.6995,11.9141,6.0352,512,0,1.0,0.0,53322,0,1.0,0.0,0,25,33,454,0.0,0.0488,0.0645,0.8867,722,1.4102,14,12.93,8.39
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/Factoring/fact.grnd.unsat.30,1,0.0478,0.5847,0.0,0.2536,0.7386,0.0513,1,4586,4320,266,13087,2.8537,9125,6681,0,0,9391,9391,0,0,0,1.0,0.0,0.0,0.0,11410,508,238,10664,0.0445,0.0209,0.9346,8807,4250,30,0.673,0.3247,0.0023,900,0.57,13.3021,7.8752,513,0,1.0,0.0,64267,0,1.0,0.0,0,20,33,460,0.0,0.039,0.0643,0.8967,892,1.7388,27,12.61,7.32
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/Factoring/fact.grnd.unsat.24,1,0.051,0.5835,0.0,0.2589,0.733,0.0525,1,2898,2705,193,8195,2.8278,5818,4258,0,0,5978,5978,0,0,0,1.0,0.0,0.0,0.0,7361,324,159,6878,0.044,0.0216,0.9344,5521,2658,16,0.6737,0.3243,0.002,772,0.6645,9.4581,5.8421,513,0,1.0,0.0,42672,0,1.0,0.0,0,25,23,465,0.0,0.0487,0.0448,0.9064,766,1.4932,10,10.08,6.98
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/Factoring/fact.grnd.sat.24,1,0.0519,0.5826,0.0,0.2589,0.733,0.0525,1,2903,2705,198,8180,2.8178,5818,4258,0,0,5978,5978,0,0,0,1.0,0.0,0.0,0.0,7346,324,159,6863,0.0441,0.0216,0.9342,5506,2658,16,0.6731,0.3249,0.002,606,0.8449,7.7598,4.4902,512,0,1.0,0.0,45888,0,1.0,0.0,0,19,25,468,0.0,0.0371,0.0488,0.9141,602,1.1758,7,7.21,5.27
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/HamiltonianCycle/rand_100_800_1155012316_9.gph,1,0.5386,0.9872,0.5258,0.246,0.2026,0.0385,0,4282,3981,301,5862,1.369,3682,5203,1,1680,7802,6002,200,1600,0,0.7693,0.0256,0.2051,0.0,8804,2501,0,6303,0.2841,0.0,0.7159,4762,800,300,0.8124,0.1365,0.0512,668,0.768,76.5926,62.7778,513,0,1.0,0.0,143927,0,1.0,0.0,0,0,0,513,0.0,0.0,0.0,1.0,594,1.1579,7,75.78,66.93
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/HamiltonianCycle/rand_200_1800_1154991214_9.gph,1,0.5403,0.9885,0.5288,0.2429,0.2053,0.0345,0,9574,8973,601,13146,1.3731,8174,11603,1,3772,17402,13402,400,3600,0,0.7701,0.023,0.2069,0.0,19604,5601,0,14003,0.2857,0.0,0.7143,10746,1800,600,0.8174,0.1369,0.0456,816,0.6275,147.3848,96.3516,512,0,1.0,0.0,162606,0,1.0,0.0,0,0,0,512,0.0,0.0,0.0,1.0,669,1.3066,7,147.44,92.35
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/HamiltonianCycle/rand_100_800_1155012316_1.gph,1,0.5386,0.9872,0.5258,0.2452,0.2034,0.0385,0,4288,3987,301,5874,1.3699,3688,5203,1,1686,7802,6002,200,1600,0,0.7693,0.0256,0.2051,0.0,8804,2501,0,6303,0.2841,0.0,0.7159,4774,800,300,0.8127,0.1362,0.0511,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/HamiltonianCycle/rand_100_800_1155012316_11.gph,1,0.5386,0.9872,0.5258,0.2449,0.2037,0.0385,0,4290,3989,301,5878,1.3702,3690,5203,1,1688,7802,6002,200,1600,0,0.7693,0.0256,0.2051,0.0,8804,2501,0,6303,0.2841,0.0,0.7159,4778,800,300,0.8129,0.1361,0.051,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/HamiltonianCycle/rand_150_1200_1154711577_4.gph,1,0.5385,0.9872,0.5257,0.2449,0.2037,0.0385,0,6435,5984,451,8818,1.3703,5535,7803,1,2533,11702,9002,300,2400,0,0.7693,0.0256,0.2051,0.0,13204,3751,0,9453,0.2841,0.0,0.7159,7168,1200,450,0.8129,0.1361,0.051,830,0.6169,112.9277,81.6055,512,0,1.0,0.0,143420,0,1.0,0.0,0,0,0,512,0.0,0.0,0.0,1.0,720,1.4062,19,113.48,76.39
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/HamiltonianPath/gryzzles.48,1,0.1632,0.7645,0.1326,0.133,0.7344,0.5592,0,2342,911,1431,3130,1.3365,2660,1622,1,590,4412,4412,0,0,0,1.0,0.0,0.0,0.0,2523,584,450,1489,0.2315,0.1784,0.5902,3009,45,76,0.9613,0.0144,0.0243,1010,0.5079,12.5458,5.809,513,0,1.0,0.0,7853,0,1.0,0.0,0,7,11,495,0.0,0.0136,0.0214,0.9649,1003,1.9552,19,13.35,4.87
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/HamiltonianPath/gryzzles.30,1,0.1798,0.7469,0.1433,0.1448,0.7119,0.5298,0,2072,849,1223,2806,1.3542,2352,1524,1,564,3860,3860,0,0,0,1.0,0.0,0.0,0.0,2355,552,414,1389,0.2344,0.1758,0.5898,2684,78,44,0.9565,0.0278,0.0157,1059,0.4835,16.2461,6.4473,512,1,0.9981,0.0019,6930,15,0.9978,0.0022,0,7,28,478,0.0,0.0136,0.0546,0.9318,1047,2.0449,26,13.54,8.01
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/HamiltonianPath/gryzzles.41,1,0.186,0.7401,0.1479,0.149,0.7031,0.5177,0,1951,814,1137,2646,1.3562,2217,1474,1,544,3624,3624,0,0,0,1.0,0.0,0.0,0.0,2274,535,399,1340,0.2353,0.1755,0.5893,2529,85,32,0.9558,0.0321,0.0121,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/HamiltonianPath/hampath.ngrnd.6,1,0.0897,0.8571,0.0771,0.0778,0.8451,0.7266,0,4330,1111,3219,5358,1.2374,4777,1852,1,655,8446,8446,0,0,0,1.0,0.0,0.0,0.0,2949,651,546,1752,0.2208,0.1851,0.5941,5251,26,81,0.98,0.0049,0.0151,577,0.8891,26.7135,23.384,513,0,1.0,0.0,43466,0,1.0,0.0,0,0,0,513,0.0,0.0,0.0,1.0,552,1.076,4,26.6,24.4
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/HamiltonianPath/gryzzles.15,1,0.1726,0.754,0.1389,0.1399,0.7212,0.5412,0,2283,918,1365,3076,1.3473,2595,1642,1,602,4276,4276,0,0,0,1.0,0.0,0.0,0.0,2546,593,451,1502,0.2329,0.1771,0.5899,2941,81,54,0.9561,0.0263,0.0176,1273,0.4022,14.9805,4.4375,512,0,1.0,0.0,4632,0,1.0,0.0,0,14,50,448,0.0,0.0273,0.0977,0.875,1257,2.4551,22,18.74,6.22
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/Hashiwokakero/hashiwokakero-size14-puzzle9,1,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/Hashiwokakero/hashiwokakero-size21-puzzle7,1,0.001,0.8179,0.0002,0.0183,0.8002,0.2207,0,963886,944846,19040,3197872,3.3177,1050610,219100,1,932860,1077546,1076664,441,441,0,0.9992,0.0004,0.0004,0.0,52609,1824,1189,49596,0.0347,0.0226,0.9427,2244469,758455,194948,0.7019,0.2372,0.061,143,0.4895,3.6571,2.1286,70,16767,0.0042,0.9958,1422,514105,0.0028,0.9972,0,411,11,16415,0.0,0.0244,0.0007,0.9749,143,2.0429,6,2.56,1.49
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/Hashiwokakero/hashiwokakero-size26-puzzle3,1,0.0007,0.811,0.0001,0.0124,0.7991,0.2152,0,2261581,2229230,32351,7546818,3.337,2390935,494340,1,2210768,2432348,2430996,676,676,0,0.9994,0.0003,0.0003,0.0,90412,2671,1729,86012,0.0295,0.0191,0.9513,5301901,1786075,458842,0.7025,0.2367,0.0608,304,0.2039,22.9516,2.7742,62,15745,0.0039,0.9961,7347,544925,0.0133,0.9867,0,491,93,15223,0.0,0.0311,0.0059,0.9631,304,4.9032,197,14.23,1.72
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/Hashiwokakero/hashiwokakero-size11-puzzle5,1,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/Hashiwokakero/hashiwokakero-size23-puzzle9,1,0.0008,0.8146,0.0001,0.0155,0.7997,0.2181,0,1387277,1364852,22425,4620922,3.3309,1488676,309239,1,1347606,1520979,1519921,529,529,0,0.9993,0.0003,0.0003,0.0,62346,2108,1377,58861,0.0338,0.0221,0.9441,3246081,1094133,280708,0.7025,0.2368,0.0607,7,0.8571,1.3333,1.1667,6,30,0.1667,0.8333,31,780,0.0382,0.9618,0,0,1,35,0.0,0.0,0.0278,0.9722,7,1.1667,2,0.08,0.07
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/KnightsTour/knights_13_13_t17.lp,1,0.0016,0.9418,0.0009,0.4198,0.5782,0.5789,1,31133,4921,26212,37570,1.2068,34545,8867,0,0,49685,49651,17,17,0,0.9993,0.0003,0.0003,0.0,17097,2927,2906,11264,0.1712,0.17,0.6588,35151,70,2349,0.9356,0.0019,0.0625,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/KnightsTour/knights_17_17_t9.lp,1,0.0018,0.9266,0.0013,0.5593,0.4387,0.4392,1,17361,3785,13576,21490,1.2378,20845,8155,0,0,35577,35559,9,9,0,0.9995,0.0003,0.0003,0.0,15185,2655,2618,9912,0.1748,0.1724,0.6527,19719,38,1733,0.9176,0.0018,0.0806,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/KnightsTour/knights_18_18_t8.lp,1,0.0018,0.9243,0.0013,0.5828,0.4151,0.4156,1,15895,3593,12302,19444,1.2233,19473,8162,0,0,34342,34326,8,8,0,0.9995,0.0002,0.0002,0.0,15058,2647,2607,9804,0.1758,0.1731,0.6511,17789,34,1621,0.9149,0.0017,0.0834,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/KnightsTour/knights_20_20_t19.lp,1,0.0007,0.9468,0.0004,0.4159,0.5832,0.5835,1,90041,13218,76823,111505,1.2384,98877,23299,0,0,143340,143302,19,19,0,0.9997,0.0001,0.0001,0.0,45039,7670,7637,29732,0.1703,0.1696,0.6601,105048,78,6379,0.9421,0.0007,0.0572,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/KnightsTour/knights_15_15_t9.lp,1,0.0022,0.9257,0.0015,0.5535,0.444,0.4447,1,13521,2953,10568,16530,1.2225,16237,6359,0,0,27365,27347,9,9,0,0.9993,0.0003,0.0003,0.0,11849,2075,2042,7732,0.1751,0.1723,0.6525,15143,38,1349,0.9161,0.0023,0.0816,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512,-512
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/RLP-150/lp.150.00750.23,1,0.2554,0.2365,0.0,0.0,1.0,0.0,0,875,871,4,3057,3.4937,728,151,1,875,740,740,0,0,0,1.0,0.0,0.0,0.0,4,0,0,4,0.0,0.0,1.0,2186,743,128,0.7151,0.243,0.0419,612,0.8366,8.7363,6.2227,512,1,0.9981,0.0019,6437,6,0.9991,0.0009,219,1,14,498,0.4269,0.0019,0.0273,0.9708,606,1.1836,5,7.53,5.74
instances/asp/data/potassco-suite/ASP-Comp-2007-Lparse/SLparse/RLP-150/lp.150.00675.13,1,0.2411,0.2723,0.0,0.0,1.0,0.0,0,810,807,3,2800,3.4568,666,151,1,792,672,672,0,0,0,1.0,0.0,0.0,0.0,7,0,0,7,0.0,0.0,1.0,1993,677,130,0.7118,0.2418,0.0464,628,0.8153,7.6289,5.5605,512,1,0.9981,0.0019,6188,8,0.9987,0.0013,406,4,22,487,0.7914,0.0078,0.0429,0.9493,621,1.2129,9,8.6,6.09
